wkt_geom,objectid,totalmarke,appraisedv,taxvalue,landvalue,buildingva,saleprice,Shape__Are,Shape__Len,AcqParcels,AcqPrice
"MultiPolygon (((-82.55725210726369312 35.58990342325309797, -82.55727700257210699 35.58974559494910039, -82.5574955159496966 35.58975508542270205, -82.55764351083290364 35.589749407420598, -82.55762603981349912 35.58990332848959781, -82.5576237125166017 35.58991304912780151, -82.55749909504319817 35.58990706859629682, -82.55749610648399539 35.58990690492029785, -82.55725210726369312 35.58990342325309797)))",54668,57900,57900,57900,57900,0,0,6245.458374,337.4494697,9-Apr,6000
"MultiPolygon (((-82.55752936254420149 35.59052301417300157, -82.55752977646200463 35.59051772023720162, -82.5566202739775008 35.59049876380689881, -82.55661955184679357 35.59049874870439822, -82.55661829038240285 35.59049872237660139, -82.55661813629470203 35.59049872202150056, -82.55661803725790548 35.59049872156509764, -82.55661032476639605 35.59023905086780104, -82.55704561005069309 35.59024981087590334, -82.55704623454469981 35.59024785870479946, -82.55705630596300182 35.59021639041360174, -82.55757034704730302 35.59019858138630354, -82.55753799829990669 35.5905195440624027, -82.55753746922850667 35.59052311773749722, -82.55752936254420149 35.59052301417300157)))",54672,1732600,1732600,1732600,277300,1455300,0,28846.29449,783.5646402,4-5，4-6，4-22，4-23,33600
"MultiPolygon (((-82.55705630596300182 35.59021639041360174, -82.55709021036069828 35.59005831331239733, -82.55749892329680506 35.59006949501600303, -82.55750996009560083 35.59006998546350076, -82.55758481015270434 35.59007453899499751, -82.55758163352010115 35.59008773042859985, -82.55757034704730302 35.59019858138630354, -82.55705630596300182 35.59021639041360174)))",54671,82800,82800,82800,82800,0,0,7745.234924,403.9347574,"4-5,4-6,4-22,4-21,4-20",46350
"MultiPolygon (((-82.55709021036069828 35.59005831331239733, -82.55712382139600436 35.58990159170549816, -82.55725210726369312 35.58990342325309797, -82.55749610648399539 35.58990690492029785, -82.55749909504319817 35.58990706859629682, -82.5576237125166017 35.58991304912780151, -82.55758481015270434 35.59007453899499751, -82.55750996009560083 35.59006998546350076, -82.55749892329680506 35.59006949501600303, -82.55709021036069828 35.59005831331239733)))",54670,82800,82800,0,82800,0,0,8641.931885,413.6985319,"4-20:13000,4-19:27500",40500
"MultiPolygon (((-82.55661032476639605 35.59023905086780104, -82.55659893544969918 35.58985562116470192, -82.55658918939060698 35.58952742289879723, -82.55715714830640195 35.5895245102503992, -82.55717339090689677 35.58952895014059692, -82.5571765957295014 35.58953681752849718, -82.55718275223310343 35.5895492089344998, -82.55730721699829644 35.58955405438589992, -82.55727700257210699 35.58974559494910039, -82.55725210726369312 35.58990342325309797, -82.55712382139600436 35.58990159170549816, -82.55709021036069828 35.59005831331239733, -82.55705630596300182 35.59021639041360174, -82.55704623454469981 35.59024785870479946, -82.55704561005069309 35.59024981087590334, -82.55661032476639605 35.59023905086780104)))",54675,2256700,2256700,2256700,430400,1826300,0,45446.74341,902.6971919,4-18，4-19，4-20，4-21,69000
"MultiPolygon (((-82.55658918939060698 35.58952742289879723, -82.55657358602930174 35.58892190140029754, -82.55717867856189685 35.5889596981095977, -82.55715714830640195 35.5895245102503992, -82.55658918939060698 35.58952742289879723)))",54674,1292900,1292900,1292900,355900,937000,0,37145.34296,775.4015978,4-17:83000,83000
"MultiPolygon (((-82.55717339090689677 35.58952895014059692, -82.55720483943649413 35.58917568902879935, -82.55737760635889799 35.58919987605749924, -82.55736152743419609 35.58935153869960288, -82.55735735383579765 35.58939090781060344, -82.55733992446249658 35.58955532731919646, -82.55730721699829644 35.58955405438589992, -82.55718275223310343 35.5895492089344998, -82.5571765957295014 35.58953681752849718, -82.55717339090689677 35.58952895014059692)))",54669,187400,187400,187400,57100,130300,57000,6769.476013,365.555631,"4-16:10500,4-10,4-18",350
"MultiPolygon (((-82.55720483943649413 35.58917568902879935, -82.55722477826699901 35.58895174948060003, -82.55773893670479424 35.58897956755689762, -82.55771283476130407 35.58923796894300295, -82.55746929850720051 35.58921242874969693, -82.55746121376000701 35.58921158169469834, -82.55737760635889799 35.58919987605749924, -82.55720483943649413 35.58917568902879935)))",54664,251200,251200,251200,75900,175300,0,13572.58862,482.0469377,"4-14:4150,4-15:9800,4-16:10500",24450
"MultiPolygon (((-82.55733992446249658 35.58955532731919646, -82.55735735383579765 35.58939090781060344, -82.55770640120249482 35.58943414769890268, -82.55768186544159448 35.58956518115500245, -82.55748389126600273 35.58956094976460349, -82.55733992446249658 35.58955532731919646)))",54666,169300,169300,169300,67000,102300,146500,5610.47345,315.0051952,4-10:17000,2125
"MultiPolygon (((-82.55727700257210699 35.58974559494910039, -82.55730721699829644 35.58955405438589992, -82.55733992446249658 35.58955532731919646, -82.55748389126600273 35.58956094976460349, -82.55768186544159448 35.58956518115500245, -82.55764351083290364 35.589749407420598, -82.5574955159496966 35.58975508542270205, -82.55727700257210699 35.58974559494910039)))",54667,74500,74500,74500,74500,0,0,7671.680847,358.8772457,4-10:17000,17000
