block_number,parcel_num,money,year_appraisal
5,19,10000,
1,21,2300,
76,5,4250,
59,15,6100,
37,10,1600,
71,15,119000,
53,15A,1100,
71,20,25000,
57,7,4000,
49,16,8000,
44,26,3500,
17,36,19500,
6,36,9250,
1,42,500,
30,28,9200,
16,11,10500,
6,54,7000,
6,56,4000,
29,17,5800,
29,7,3500,
50,3,5500,
27,16,6000,
40,13,9000,
43,16,6000,
6,41,7750,
52,4,3600,
58,3,4000,
53,12,700,
11,34,375,
28,7A,5250,
6,21,4300,
4,9,6000,
3,16,11500,
48,3,2500,
49,11,1200,
11,12,1900,
38,17,9000,
4,20,13000,
48,13,7250,
71,8,1700,
1,46,14300,
27,13,4800,
76,2,5000,
52,1,400,
17,3,8500,
4,19,27500,
34,18,6700,
52,8,520,
71,16,3950,
34,17,2300,
41,9,4250,
16,14,4000,
50,19,350,
11,38,250,
47,12,4000,
5,9,5350,
27,12,29475,
3,1,9100,
31,27,5000,
28,9,1200,
45,9,10000,
33,1,9000,
4,25,15000,
61,17,6400,
59,18,100,
17,21,7000,
27,8,7000,
37,5,2000,
45,23,7075,
11,43,800,
34,12,2300,
34,8,122000,
72,6,2000,
60,2,4500,
29,20,5000,
48,11,24000,
55,12,5500,
30,30,5000,
30,43,9000,
1,10,28800,
1,29,750,
19,26,4000,
42,4,11750,
55,2,-,
6,22,8300,
47,18,5500,
55,42,3000,
41,10,16000,
57,6,500,
44,17,4000,
6,55,4800,
11,24,6850,
59,6,3600,
10,3,200,
48,24,1125,
45,7,500,
62,5,8500,
1,9,8300,
44,25,9000,
37,3A,9800,
11,16,150,
48,14,5500,
55,48,4000,
62,4,7000,
27,1,1280,
30,32,10800,
33,10,7000,
61,6,7500,
50,12,425,
49,1,6000,
63,12,7500,
6,47,5300,
72,8,9000,
17,4,4700,
52,9,-,
43,32,7000,
71,17,4900,
26,8,6000,
11,25,3100,
31,17,8000,
3,19,7950,
17,34,6250,
45,4,750,
36,3A,30000,
76,1,5500,
37,4,1700,
30,44,10000,
6,53,6000,
44,14,3400,
11,10,3000,
42,18,6000,
40,29,2250,
49,14,11000,
36,4,38000,
46,11,2800,
49,9,6700,
17,25,8000,
11,39,400,
48,26,8500,
45,34,2500,
1,44,-,
6,62,5500,
3,21,3600,
46,16,6700,
55,44,3500,
1,48,7200,
57,9,4300,
72,1,9700,
6,14C,5750,
50,14,5500,
55,6,8500,
47,14,3350,
47,16,8200,
5,12,4300,
16,12,1550,
47,21,12000,
30,26,4200,
1,7,60000,
55,36,575,
55,8,450,
17,30,9000,
61,5A,3500,
15,17,12750,
6,8,46500,
62,1A,9500,
57,10,9500,
43,11,3800,
45,12,500,
29,19,5800,
61,15,6150,
61,1,250,
39,10,5800,
45,13,5000,
28,6,5250,
25,3,1750,
27,4,500,
44,21,2900,
40,7,350,
15,1,10000,
37,3B,7400,
1,19,2250,
30,22,8500,
28,3A,4350,
17,26,4500,
7,14,38000,
47,15,1800,
30,15,6000,
45,30,4300,
1,2,8500,
55,9,9600,
14,1,1400,
59,16,6500,
59,3,5500,
55,45,3000,
10,19,900,
6,67,3750,
55,31,5000,
40,25,4000,
48,12,6500,
1,8,10500,
45,14,2200,
45,11,6800,
31,33,6500,
28,5,5800,
34,15,4000,
6,70,9500,
59,19,325,
56,16,10000,
43,3,5400,
14,8,6250,
15,8,8000,
29,16,5700,
53,9,5000,
28,21,3100,
61,5B,-,
43,14,16600,
3,17,8750,
31,24,7250,
49,12,1000,
60,1,4250,
49,7,3525,
6,12,7000,
11,32,2300,
28,23,850,
3,11,8250,
18,3,6500,
17,11,10000,
62,6,11000,
43,2,5000,
46,15,12500,
71,3,1900,
45,5,5000,
46,8,3500,
41,11,6500,
6,61,2000,
30,17,7600,
29,31,7200,
6,59,10500,
56A,13,-,
31,15,12000,
3,15,1050,
11,21,2000,
10,6,3500,
11,20,500,
46,6,3800,
27,14,8000,
35,2,5250,
55,29,2000,
6,49,14500,
1,31,4500,
30,6,13000,
50,11,700,
3,24,3900,
17,20,6000,
40,12,6000,
47,5,5500,
50,13,5000,
45,25,300,
29,1,10500,
55,39,3000,
4,18,20000,
6,2,19000,
46,9,12500,
55,47,3000,
59,11,9000,
30,27,2650,
28,16,8000,
47,10,16000,
44,24,6200,
45,8,4000,
45,16,3200,
40,20,11000,
71,1,6000,
35,4,865.85,
55,28,4400,
6,51,6600,
71,9,3350,
55,50,500,
58,4,5800,
16,18,11500,
44,8,4000,
4,16,10500,
31,6,7350,
29,14,2250,
4,6,4000,
11,23,6000,
48,21,6500,
17,24,6250,
11,11,3300,
59,9,6500,
50,16,400,
17,37,9000,
6,44,1150,
10,2,5000,
11,44,200,
17,9B,5500,
49,3,1050,
55,23,7000,
6,65,7300,
5,25,6000,
55,11,600,
30,31,11800,
29,15,5600,
59,4,4600,
17,22,7650,
3,5,11000,
71,14,5300,
62,3,7500,
6,13,12500,
64,5,11000,
53,8,8100,
1,47,21000,
71,29,1000,
47,23,6800,
16,7,7000,
62,1B,500,
28,14,2100,
11,4,750,
55,34,3350,
31,25,6000,
31,28,8500,
46,1,20750,
14,12,1200,
47,24,2200,
43,20,6000,
17,2,6600,
48,19,250,
53,16,4500,
6,72,6200,
76,7,3250,
28,20,3900,
3,8,2350,
50,5,2500,
40,18,45000,
6,78,7800,
1,20,3500,
56,19,6000,
11,9,350,
55,10,8500,
48,6,3500,
55,40,6500,
1,45,1500,
11,19,140,
6,63,6500,
17,13,5000,
43,9,10500,
34,14,7200,
28,8B,6000,
34,13,3900,
28,22,5100,
17,15,4400,
44,6,2500,
42,5,5000,
55,4,-,
33,5,11585,
6,6,14700,
6,69,9300,
4,15,9800,
71,23,3500,
60,9,450,
43,33A,5300,
1,14,4500,
4,26,7600,
59,7,8500,
3,18,13500,
25,7,175,
47,8,7500,
17,19,13250,
1,40,500,
48,5,38900,
6,5,44000,
55,5,750,
6,39,1800,
55,33,4000,
11,30,5300,
36,6,1000,
15,2,14500,
45,18,2100,
17,12,6900,
57,5,6800,
1,49,5700,
28,19,3700,
71,13,1950,
72,4,6750,
36,3B,3000,
1,30,1700,
28,10,2500,
5,16,5450,
47,20,11150,
60,6,8500,
59,5,5500,
30,8,9500,
15,16,8500,
1,3,15000,
6,25,1325,
1,12,21500,
48,15,3500,
