block_number,parcel_num,money,appraisal_date
5,19,10000,2/5/1970
1,21,2300,2/5/1970
76,5,4250,2/5/1970
59,15,6100,2/5/1970
37,10,1600,2/5/1970
71,15,119000,2/5/1970
53,15A,1100,2/5/1970
71,20,25000,2/5/1970
57,7,4000,2/5/1970
49,16,8000,2/5/1970
44,26,3500,2/5/1970
17,36,19500,2/5/1970
6,36,9250,2/5/1970
1,42,500,2/5/1970
30,28,9200,2/5/1970
16,11,10500,2/5/1970
6,54,7000,2/5/1970
6,56,4000,2/5/1970
29,17,5800,2/5/1970
29,7,3500,2/5/1970
50,3,5500,2/5/1970
27,16,6000,2/5/1970
40,13,9000,2/5/1970
43,16,6000,2/5/1970
6,41,7750,2/5/1970
52,4,3600,2/5/1970
58,3,4000,2/5/1970
53,12,700,2/5/1970
11,34,375,2/5/1970
28,7A,5250,2/5/1970
6,21,4300,2/5/1970
4,9,6000,2/5/1970
3,16,11500,2/5/1970
48,3,2500,2/5/1970
49,11,1200,2/5/1970
11,12,1900,2/5/1970
38,17,9000,2/5/1970
4,20,13000,2/5/1970
48,13,7250,2/5/1970
71,8,1700,2/5/1970
1,46,14300,2/5/1970
27,13,4800,2/5/1970
76,2,5000,2/5/1970
52,1,400,2/5/1970
17,3,8500,2/5/1970
4,19,27500,2/5/1970
34,18,6700,2/5/1970
52,8,520,2/5/1970
71,16,3950,2/5/1970
34,17,2300,4/30/1974
41,9,4250,4/30/1974
16,14,4000,9/7/1968
50,19,350,9/7/1968
11,38,250,9/7/1968
47,12,4000,9/7/1968
5,9,5350,9/7/1968
27,12,29475,9/7/1968
3,1,9100,9/7/1968
31,27,5000,9/7/1968
28,9,1200,9/7/1968
45,9,10000,9/7/1968
33,1,9000,9/7/1968
4,25,15000,9/7/1968
61,17,6400,9/7/1968
59,18,100,9/7/1968
17,21,7000,9/7/1968
27,8,7000,9/7/1968
37,5,2000,9/7/1968
45,23,7075,9/7/1968
11,43,800,9/7/1968
34,12,2300,9/7/1968
34,8,122000,9/7/1968
72,6,2000,9/7/1968
60,2,4500,9/7/1968
29,20,5000,9/7/1968
48,11,24000,6/3/1975
55,12,5500,6/3/1975
30,30,5000,6/3/1975
30,43,9000,6/3/1975
1,10,28800,6/3/1975
1,29,750,6/3/1975
19,26,4000,6/3/1975
42,4,11750,6/3/1975
55,2,-,6/3/1975
6,22,8300,6/3/1975
47,18,5500,6/3/1975
55,42,3000,6/3/1975
41,10,16000,6/3/1975
57,6,500,6/3/1975
44,17,4000,6/3/1975
6,55,4800,6/3/1975
11,24,6850,6/3/1975
59,6,3600,6/3/1975
10,3,200,6/3/1975
48,24,1125,6/3/1975
45,7,500,8/3/1968
62,5,8500,8/3/1968
1,9,8300,8/3/1968
44,25,9000,8/3/1968
37,3A,9800,8/3/1968
11,16,150,8/3/1968
48,14,5500,8/3/1968
55,48,4000,8/3/1968
62,4,7000,8/3/1968
27,1,1280,8/3/1968
30,32,10800,8/3/1968
33,10,7000,8/3/1968
61,6,7500,8/3/1968
50,12,425,8/3/1968
49,1,6000,8/3/1968
63,12,7500,8/3/1968
6,47,5300,8/3/1968
72,8,9000,8/3/1968
17,4,4700,8/3/1968
52,9,-,8/3/1968
43,32,7000,8/22/1968
71,17,4900,8/22/1968
26,8,6000,8/22/1968
11,25,3100,8/22/1968
31,17,8000,8/22/1968
3,19,7950,8/22/1968
17,34,6250,8/22/1968
45,4,750,8/22/1968
36,3A,30000,8/22/1968
76,1,5500,8/22/1968
37,4,1700,8/22/1968
30,44,10000,8/22/1968
6,53,6000,8/22/1968
44,14,3400,8/22/1968
11,10,3000,8/22/1968
42,18,6000,8/22/1968
40,29,2250,8/22/1968
49,14,11000,8/22/1968
36,4,38000,8/22/1968
46,11,2800,8/22/1968
49,9,6700,8/22/1968
17,25,8000,8/22/1968
11,39,400,8/22/1968
48,26,8500,8/22/1968
45,34,2500,8/22/1968
1,44,-,8/22/1968
6,62,5500,8/22/1968
3,21,3600,8/22/1968
46,16,6700,8/22/1968
55,44,3500,8/22/1968
1,48,7200,8/22/1968
57,9,4300,8/22/1968
72,1,9700,8/22/1968
6,14C,5750,8/22/1968
50,14,5500,8/22/1968
55,6,8500,8/22/1968
47,14,3350,8/22/1968
47,16,8200,8/22/1968
5,12,4300,8/22/1968
16,12,1550,8/22/1968
47,21,12000,8/22/1968
30,26,4200,8/22/1968
1,7,60000,8/22/1968
55,36,575,8/22/1968
55,8,450,8/22/1968
17,30,9000,8/22/1968
61,5A,3500,8/22/1968
15,17,12750,8/22/1968
6,8,46500,8/22/1968
62,1A,9500,8/22/1968
57,10,9500,8/22/1968
43,11,3800,8/22/1968
45,12,500,8/22/1968
29,19,5800,8/22/1968
61,15,6150,8/31/1968
61,1,250,6/20/1968
39,10,5800,6/20/1968
45,13,5000,6/20/1968
28,6,5250,6/20/1968
25,3,1750,6/20/1968
27,4,500,6/20/1968
44,21,2900,6/20/1968
40,7,350,6/20/1968
15,1,10000,6/20/1968
37,3B,7400,6/20/1968
1,19,2250,6/20/1968
30,22,8500,6/20/1968
28,3A,4350,6/7/1968
17,26,4500,6/7/1968
7,14,38000,6/7/1968
47,15,1800,6/7/1968
30,15,6000,6/7/1968
45,30,4300,6/7/1968
1,2,8500,6/7/1968
55,9,9600,6/7/1968
14,1,1400,6/7/1968
59,16,6500,6/7/1968
59,3,5500,6/7/1968
55,45,3000,6/7/1968
10,19,900,6/7/1968
6,67,3750,6/7/1968
55,31,5000,6/7/1968
40,25,4000,6/7/1968
48,12,6500,6/7/1968
1,8,10500,6/7/1968
45,14,2200,6/7/1968
45,11,6800,6/7/1968
31,33,6500,6/7/1968
28,5,5800,6/7/1968
34,15,4000,6/7/1968
6,70,9500,6/7/1968
59,19,325,6/7/1968
56,16,10000,6/7/1968
43,3,5400,6/7/1968
14,8,6250,6/7/1968
15,8,8000,6/7/1968
29,16,5700,6/7/1968
53,9,5000,6/7/1968
28,21,3100,6/7/1968
61,5B,-,6/7/1968
43,14,16600,6/7/1968
3,17,8750,6/7/1968
31,24,7250,6/7/1968
49,12,1000,6/7/1968
60,1,4250,6/7/1968
49,7,3525,6/7/1968
6,12,7000,6/7/1968
11,32,2300,6/7/1968
28,23,850,6/7/1968
3,11,8250,6/7/1968
18,3,6500,2/16/1976
17,11,10000,2/16/1976
62,6,11000,2/16/1976
43,2,5000,2/16/1976
46,15,12500,2/16/1976
71,3,1900,2/16/1976
45,5,5000,2/16/1976
46,8,3500,2/16/1976
41,11,6500,9/28/1968
6,61,2000,9/28/1968
30,17,7600,9/28/1968
29,31,7200,9/28/1968
6,59,10500,9/28/1968
56A,13,-,9/28/1968
31,15,12000,9/28/1968
3,15,1050,9/28/1968
11,21,2000,9/28/1968
10,6,3500,9/28/1968
11,20,500,9/28/1968
46,6,3800,9/28/1968
27,14,8000,8/21/1968
35,2,5250,8/21/1968
55,29,2000,8/21/1968
6,49,14500,8/21/1968
1,31,4500,8/21/1968
30,6,13000,8/21/1968
50,11,700,8/21/1968
3,24,3900,8/21/1968
17,20,6000,8/21/1968
40,12,6000,8/21/1968
47,5,5500,8/21/1968
50,13,5000,8/21/1968
45,25,300,8/21/1968
29,1,10500,8/21/1968
55,39,3000,8/21/1968
4,18,20000,8/21/1968
6,2,19000,8/21/1968
46,9,12500,8/21/1968
55,47,3000,8/21/1968
59,11,9000,8/21/1968
30,27,2650,8/7/1968
28,16,8000,8/7/1968
47,10,16000,8/7/1968
44,24,6200,8/7/1968
45,8,4000,8/7/1968
45,16,3200,8/7/1968
40,20,11000,8/7/1968
71,1,6000,8/7/1968
35,4,865.85,8/7/1968
55,28,4400,8/7/1968
6,51,6600,8/7/1968
71,9,3350,8/7/1968
55,50,500,8/7/1968
58,4,5800,8/7/1968
16,18,11500,8/7/1968
44,8,4000,8/7/1968
4,16,10500,8/7/1968
31,6,7350,8/7/1968
29,14,2250,8/7/1968
4,6,4000,8/7/1968
11,23,6000,8/7/1968
48,21,6500,8/7/1968
17,24,6250,8/7/1968
11,11,3300,8/7/1968
59,9,6500,8/7/1968
50,16,400,8/7/1968
17,37,9000,8/7/1968
6,44,1150,8/7/1968
10,2,5000,8/7/1968
11,44,200,8/7/1968
17,9B,5500,8/7/1968
49,3,1050,8/7/1968
55,23,7000,12/5/1968
6,65,7300,12/5/1968
5,25,6000,12/5/1968
55,11,600,8/3/1968
30,31,11800,8/3/1968
29,15,5600,9/15/1968
59,4,4600,9/15/1968
17,22,7650,5/29/1968
3,5,11000,6/15/1968
71,14,5300,6/15/1968
62,3,7500,6/15/1968
6,13,12500,6/15/1968
64,5,11000,6/15/1968
53,8,8100,6/15/1968
1,47,21000,6/15/1968
71,29,1000,6/15/1968
47,23,6800,6/15/1968
16,7,7000,6/15/1968
62,1B,500,6/15/1968
28,14,2100,6/15/1968
11,4,750,6/15/1968
55,34,3350,6/15/1968
31,25,6000,6/15/1968
31,28,8500,6/15/1968
46,1,20750,6/15/1968
14,12,1200,6/15/1968
47,24,2200,6/15/1968
43,20,6000,6/15/1968
17,2,6600,6/15/1968
48,19,250,6/15/1968
53,16,4500,6/15/1968
6,72,6200,7/6/1968
76,7,3250,7/6/1968
28,20,3900,7/6/1968
3,8,2350,7/6/1968
50,5,2500,7/6/1968
40,18,45000,7/6/1968
6,78,7800,7/6/1968
1,20,3500,7/6/1968
56,19,6000,7/6/1968
11,9,350,7/6/1968
55,10,8500,7/6/1968
48,6,3500,7/6/1968
55,40,6500,7/6/1968
1,45,1500,7/6/1968
11,19,140,7/6/1968
6,63,6500,7/6/1968
17,13,5000,7/6/1968
43,9,10500,7/6/1968
34,14,7200,7/6/1968
28,8B,6000,7/6/1968
34,13,3900,7/6/1968
28,22,5100,7/20/1968
17,15,4400,7/20/1968
44,6,2500,7/20/1968
42,5,5000,7/20/1968
55,4,-,7/20/1968
33,5,11585,7/20/1968
6,6,14700,7/20/1968
6,69,9300,7/20/1968
4,15,9800,7/20/1968
71,23,3500,7/20/1968
60,9,450,7/20/1968
43,33A,5300,7/20/1968
1,14,4500,7/20/1968
4,26,7600,7/20/1968
59,7,8500,7/20/1968
3,18,13500,6/12/1974
25,7,175,6/12/1974
47,8,7500,6/12/1974
17,19,13250,6/12/1974
1,40,500,6/12/1974
48,5,38900,6/12/1974
6,5,44000,6/12/1974
55,5,750,6/12/1974
6,39,1800,6/12/1974
55,33,4000,6/12/1974
